æJudul (Title),Penulis (Author),Genre,Rating (dari 5),Summary
Holy Mother (Haha),Shogo Utano (Terjemahan),Mystery/Thriller,4.15,Terjemahan novel misteri Jepang yang menegangkan tentang seorang ibu dan rahasia gelap yang disembunyikannya.
Keajaiban Toko Kelontong Namiya,Keigo Higashino (Terjemahan),Mystery/Drama,4.4,Novel terjemahan Jepang tentang tiga pencuri yang bersembunyi di toko kelontong tua dan menemukan keajaiban melalui surat-surat dari masa lalu.
Girls in the Dark,Riku Onda (Terjemahan),Mystery,4.05,Novel misteri gelap dari Jepang tentang persaingan sengit di sekolah khusus putri dan rahasia di balik kematian siswi populer.
Double Spin Round,Gen Urobuchi (Terjemahan),Sci-Fi/Thriller,3.98,"Novel terjemahan Jepang dengan unsur sci-fi dan thriller yang kompleks, penuh dengan putaran alur cerita."
Misteri Kalung Setan,Abdullah Harahap,Horror Klasik,3.8,Novel horor klasik Indonesia dari era 70-80an yang mengisahkan misteri kalung berhantu.
Detective Diary,Yokie Adityo,Mystery,3.85,Catatan harian seorang detektif Indonesia yang berisi kasus-kasus misteri yang harus dipecahkan.
Cinta Versi Cinjun,Yokie Adityo,Romance/Mystery,3.9,Kisah unik yang memadukan unsur romansa dengan misteri yang harus dipecahkan oleh tokoh utamanya.
Pachinko,Min Jin Lee (Terjemahan),Historical Fiction,4.31,Novel terjemahan tentang empat generasi keluarga Korea yang berjuang bertahan hidup sebagai imigran di Jepang.
Grass (풀),Keum Suk Gendry-Kim (Terjemahan),Graphic Novel/Historical,4.36,"Novel grafis yang mengharukan tentang seorang ""wanita penghibur"" Korea selama pendudukan Jepang."
One Left: A Novel,Kim Soom (Terjemahan),Historical Fiction,4.1,Novel terjemahan yang berfokus pada penderitaan dan kisah yang tak terungkap dari wanita yang dipaksa menjadi budak seksual di masa perang.
How We Disappeared,Jing-Jing Lee (Terjemahan),Historical Fiction,4.05,Kisah sejarah yang menceritakan masa pendudukan Jepang di Singapura dan dampaknya pada kehidupan seorang wanita muda.
Daughters of the Dragon,William Andrews (Terjemahan),Historical Fiction,3.95,Novel terjemahan yang mengangkat kisah dan sejarah wanita-wanita Korea yang berjuang melawan takdir dan sejarah yang keras.
Matahari,Tere Liye,Fantasy,4.42,"Kelanjutan petualangan Raib, Seli, dan Ali di Klan Matahari."
Bintang,Tere Liye,Fantasy,4.41,"Kelanjutan petualangan Raib, Seli, dan Ali di Klan Bintang."
Ceros dan Batozar,Tere Liye,Fantasy,4.45,Kisah petualangan spin-off dari seri Bumi yang berfokus pada karakter Ceros dan Batozar.
"Ksatria, Putri, dan Bintang Jatuh",Dee Lestari,Sci-Fi/Philosophical,4.19,"Buku pertama dari seri Supernova yang menggabungkan sains, spiritualitas, dan kisah cinta yang kompleks."
Si Putih,Tere Liye,Fantasy,4.39,"Kisah petualangan yang berpusat pada Si Putih, kucing/anjing putih misterius yang menemani Raib dan teman-teman."
Pari,Tere Liye,Psychological Thriller,4.3,"Novel thriller psikologis yang membahas tentang Pari, seorang pembunuh bayaran dengan masa lalu yang kelam."
Sepotong Hati yang Baru,Tere Liye,Romance/Kumpulan Cerita,3.71,Kumpulan cerpen yang membahas berbagai kisah patah hati dan harapan baru dalam hubungan.
Eskalator,Tere Liye,Drama/Inspiratif,3.88,Kumpulan cerita inspiratif tentang perjalanan hidup dan perjuangan untuk mencapai impian.
Orang-Orang Biasa,Andrea Hirata,Drama/Social Satire,4.08,Kisah unik sekelompok teman masa kecil yang merencanakan perampokan konyol demi membantu seorang teman.
Edensor,Andrea Hirata,Drama/Petualangan,4.23,"Bagian ketiga dari Tetralogi Laskar Pelangi, menceritakan petualangan Ikal di Eropa."
Maryamah Karpov,Andrea Hirata,Drama,4.21,"Bagian keempat dari Tetralogi Laskar Pelangi, berfokus pada kisah cinta dan pencarian sosok Maryamah."
Padang Bulan,Andrea Hirata,Drama/Romance,4.15,Kisah tentang perjuangan dan cinta yang berlatar belakang daerah Belitong.
Cinta dalam Gelas,Andrea Hirata,Romance/Drama,4.05,Kisah tentang seorang gadis pembuat kopi yang jatuh cinta dan perjuangannya menghadapi takdir.
Ayah,Andrea Hirata,Drama/Keluarga,4.25,"Kisah mengharukan tentang hubungan seorang ayah dan anak, penuh dengan pelajaran hidup dan kasih sayang."
Sirkus Pohon,Tere Liye,Fantasy/Fabel,4.18,Novel yang menceritakan kehidupan di sebuah sirkus tua dengan sentuhan fantasi dan kisah-kisah penuh makna.
Marmut Merah Jambu,Raditya Dika,Comedy/Memoir,4,Kumpulan cerita humor yang menyegarkan tentang pengalaman cinta dan masa remaja yang canggung.
Kambing Jantan,Raditya Dika,Comedy/Memoir,3.98,Kumpulan cerita humor masa kuliah Raditya Dika sebagai mahasiswa Indonesia di luar negeri.
Babibutafis,Raditya Dika,Comedy/Memoir,3.9,Kumpulan cerita humor yang lebih absurd dan gila dari kehidupan sehari-hari sang penulis.
Ubur-Ubur Lembur,Raditya Dika,Comedy/Memoir,3.89,Kumpulan cerita humor tentang pengalaman bekerja dan proses pendewasaan diri.
Malaikat Tanpa Sayap,Tere Liye,Drama/Spiritual,4.12,"Kisah drama yang menyentuh tentang seseorang yang menjadi ""malaikat"" bagi orang lain tanpa disadari."
Bidadari-Bidadari Surga,Tere Liye,Drama/Keluarga,4.33,Kisah tentang perjuangan dan pengorbanan seorang kakak perempuan untuk adik-adiknya.
Sesuatu di Jakarta,Tere Liye,Thriller/Mystery,4.2,"Kisah misteri yang berlatar kota Jakarta, mengungkap rahasia dan intrik di balik gemerlap ibu kota."
Antologi Rasa,Ika Natassa,Romance/Chick-Lit,4.05,Kisah rumit dari empat sahabat karib yang terjebak dalam cinta segitiga dan berbagai perasaan yang tak terucapkan.
Twivortiare,Ika Natassa,Romantic Comedy,3.86,Komedi romantis tentang Beno dan Alexandra yang mencoba menikah lagi setelah bercerai dan menghadapi kekacauan yang sama.
Aruna dan Lidahnya,Laksmi Pamuntjak,Drama/Kuliner,4.15,Perjalanan kuliner Aruna ke berbagai daerah di Indonesia yang diselipi misteri penyakit menular dan intrik kehidupan.
Amba,Laksmi Pamuntjak,Historical Fiction/Romance,4.11,"Kisah cinta Amba yang berlatar konflik dan sejarah Indonesia, dari zaman Gestok hingga tragedi Pulau Buru."
Pulang Pelarian,Tere Liye,Drama/Aksi,4.4,Kisah tentang pelarian dari masa lalu dan perjuangan untuk menemukan tempat yang bisa disebut rumah.
Senja Hujan Pilu,Tere Liye,Drama/Romance,4.15,"Kumpulan kutipan dan prosa yang membahas tentang kesedihan, harapan, dan indahnya senja di tengah hujan."
Rantau 1 Muara,A. Fuadi,Drama/Inspiratif,4.25,"Kelanjutan kisah dari Negeri 5 Menara, menceritakan kehidupan para santri setelah lulus dan menghadapi dunia nyata."
